"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","European Union (current composition)","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","7","p"
"2001","European Union (current composition)","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","2,169","p"
"2001","European Union (current composition)","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","231","p"
"2001","European Union (current composition)","Number","Females","From 10 to 14 years","Tuberculosis","8","p"
"2001","European Union (current composition)","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","4","p"
"2001","European Union (current composition)","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","160","p"
"2001","European Union (15 countries)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","3,652,779","p"
"2001","European Union (15 countries)","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","45,344","p"
"2001","European Union (15 countries)","Number","Total","Total","Tuberculosis","3,985","p"
"2001","European Union (15 countries)","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","5,207","p"
"2001","European Union (15 countries)","Number","Total","Total","Human immunodeficiency virus [HIV] disease","5,825","p"
"2001","European Union (15 countries)","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","18,979","p"
"2001","European Union (15 countries)","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","341","p"
"2001","European Union (15 countries)","Number","Total","Less than 1 year","Tuberculosis","1","p"
"2001","European Union (15 countries)","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (15 countries)","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","10","p"
"2001","European Union (15 countries)","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","4,001","p"
"2001","European Union (15 countries)","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","262","p"
"2001","European Union (15 countries)","Number","Total","From 1 to 4 years","Tuberculosis","2","p"
"2001","European Union (15 countries)","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (15 countries)","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","9","p"
"2001","European Union (15 countries)","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","2,521","p"
"2001","European Union (15 countries)","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","95","p"
"2001","European Union (15 countries)","Number","Total","From 5 to 9 years","Tuberculosis","1","p"
"2001","European Union (15 countries)","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","12","p"
"2001","European Union (15 countries)","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","3,369","p"
"2001","European Union (15 countries)","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","107","p"
"2001","European Union (15 countries)","Number","Total","From 10 to 14 years","Tuberculosis","3","p"
"2001","European Union (15 countries)","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","10","p"
"2001","European Union (15 countries)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,796,929","p"
"2001","European Union (15 countries)","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)","23,592","p"
"2001","European Union (15 countries)","Number","Males","Total","Tuberculosis","2,365","p"
"2001","European Union (15 countries)","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis","2,766","p"
"2001","European Union (15 countries)","Number","Males","Total","Human immunodeficiency virus [HIV] disease","4,614","p"
"2001","European Union (15 countries)","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","10,723","p"
"2001","European Union (15 countries)","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","205","p"
"2001","European Union (15 countries)","Number","Males","Less than 1 year","Tuberculosis","1","p"
"2001","European Union (15 countries)","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease","6","p"
"2001","European Union (15 countries)","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","2,266","p"
"2001","European Union (15 countries)","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","151","p"
"2001","European Union (15 countries)","Number","Males","From 1 to 4 years","Tuberculosis","2","p"
"2001","European Union (15 countries)","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","3","p"
"2001","European Union (15 countries)","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","1,454","p"
"2001","European Union (15 countries)","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","63","p"
"2001","European Union (15 countries)","Number","Males","From 5 to 9 years","Tuberculosis","0","p"
"2001","European Union (15 countries)","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","7","p"
"2001","European Union (15 countries)","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","2,031","p"
"2001","European Union (15 countries)","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","49","p"
"2001","European Union (15 countries)","Number","Males","From 10 to 14 years","Tuberculosis","1","p"
"2001","European Union (15 countries)","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","2","p"
"2001","European Union (15 countries)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1,855,850","p"
"2001","European Union (15 countries)","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","21,752","p"
"2001","European Union (15 countries)","Number","Females","Total","Tuberculosis","1,620","p"
"2001","European Union (15 countries)","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","2,441","p"
"2001","European Union (15 countries)","Number","Females","Total","Human immunodeficiency virus [HIV] disease","1,211","p"
"2001","European Union (15 countries)","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","8,256","p"
"2001","European Union (15 countries)","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","136","p"
"2001","European Union (15 countries)","Number","Females","Less than 1 year","Tuberculosis","0","p"
"2001","European Union (15 countries)","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (15 countries)","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease","4","p"
"2001","European Union (15 countries)","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","1,735","p"
"2001","European Union (15 countries)","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","111","p"
"2001","European Union (15 countries)","Number","Females","From 1 to 4 years","Tuberculosis","0","p"
"2001","European Union (15 countries)","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (15 countries)","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","6","p"
"2001","European Union (15 countries)","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","1,067","p"
"2001","European Union (15 countries)","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","32","p"
"2001","European Union (15 countries)","Number","Females","From 5 to 9 years","Tuberculosis","1","p"
"2001","European Union (15 countries)","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","5","p"
"2001","European Union (15 countries)","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","1,338","p"
"2001","European Union (15 countries)","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","58","p"
"2001","European Union (15 countries)","Number","Females","From 10 to 14 years","Tuberculosis","2","p"
"2001","European Union (15 countries)","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
"2001","European Union (15 countries)","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","8","p"
"2001","Belgium","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Total","Total","Tuberculosis",":",""
"2001","Belgium","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Total","Total","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Total","Less than 1 year","Tuberculosis",":",""
"2001","Belgium","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Total","From 1 to 4 years","Tuberculosis",":",""
"2001","Belgium","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Total","From 5 to 9 years","Tuberculosis",":",""
"2001","Belgium","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Total","From 10 to 14 years","Tuberculosis",":",""
"2001","Belgium","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Males","Total","Tuberculosis",":",""
"2001","Belgium","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Males","Total","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Males","Less than 1 year","Tuberculosis",":",""
"2001","Belgium","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Males","From 1 to 4 years","Tuberculosis",":",""
"2001","Belgium","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Males","From 5 to 9 years","Tuberculosis",":",""
"2001","Belgium","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Males","From 10 to 14 years","Tuberculosis",":",""
"2001","Belgium","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Females","Total","Tuberculosis",":",""
"2001","Belgium","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Females","Total","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Females","Less than 1 year","Tuberculosis",":",""
"2001","Belgium","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Females","From 1 to 4 years","Tuberculosis",":",""
"2001","Belgium","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Females","From 5 to 9 years","Tuberculosis",":",""
"2001","Belgium","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Belgium","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)",":",""
"2001","Belgium","Number","Females","From 10 to 14 years","Tuberculosis",":",""
"2001","Belgium","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis",":",""
"2001","Belgium","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease",":",""
"2001","Bulgaria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","112,368",""
"2001","Bulgaria","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","688",""
"2001","Bulgaria","Number","Total","Total","Tuberculosis","299",""
"2001","Bulgaria","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","65",""
"2001","Bulgaria","Number","Total","Total","Human immunodeficiency virus [HIV] disease","1",""
"2001","Bulgaria","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","982",""
"2001","Bulgaria","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","43",""
"2001","Bulgaria","Number","Total","Less than 1 year","Tuberculosis","0",""
"2001","Bulgaria","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2001","Bulgaria","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","180",""
"2001","Bulgaria","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","16",""
"2001","Bulgaria","Number","Total","From 1 to 4 years","Tuberculosis","0",""
"2001","Bulgaria","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2001","Bulgaria","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","1",""
"2001","Bulgaria","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","105",""
"2001","Bulgaria","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","3",""
"2001","Bulgaria","Number","Total","From 5 to 9 years","Tuberculosis","0",""
"2001","Bulgaria","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","1",""
"2001","Bulgaria","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","135",""
"2001","Bulgaria","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","3",""
"2001","Bulgaria","Number","Total","From 10 to 14 years","Tuberculosis","0",""
"2001","Bulgaria","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2001","Bulgaria","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","60,145",""
"2001","Bulgaria","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)","459",""
"2001","Bulgaria","Number","Males","Total","Tuberculosis","227",""
"2001","Bulgaria","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis","40",""
"2001","Bulgaria","Number","Males","Total","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","548",""
"2001","Bulgaria","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","25",""
"2001","Bulgaria","Number","Males","Less than 1 year","Tuberculosis","0",""
"2001","Bulgaria","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2001","Bulgaria","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","98",""
"2001","Bulgaria","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","9",""
"2001","Bulgaria","Number","Males","From 1 to 4 years","Tuberculosis","0",""
"2001","Bulgaria","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2001","Bulgaria","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","58",""
"2001","Bulgaria","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2001","Bulgaria","Number","Males","From 5 to 9 years","Tuberculosis","0",""
"2001","Bulgaria","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","1",""
"2001","Bulgaria","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","89",""
"2001","Bulgaria","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","3",""
"2001","Bulgaria","Number","Males","From 10 to 14 years","Tuberculosis","0",""
"2001","Bulgaria","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2001","Bulgaria","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2001","Bulgaria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","52,223",""
"2001","Bulgaria","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","229",""
"2001","Bulgaria","Number","Females","Total","Tuberculosis","72",""
"2001","Bulgaria","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","25",""
"2001","Bulgaria","Number","Females","Total","Human immunodeficiency virus [HIV] disease","1",""
"2001","Bulgaria","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","434",""
